Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
104,Deandre Ayton,27,LAL,C,26,26,29.6,6.9,9.8,.709,0.0,0.0,0.0,6.9,9.8,.709,.709,1.0,1.6,.610,2.8,6.0,8.8,0.9,0.8,1.0,1.8,2.6,14.8,0.0,aytonde01
105,Jeremiah Fears,19,NOP,PG,33,31,27.0,5.5,12.7,.436,1.0,3.1,.337,4.5,9.7,.467,.476,2.6,3.4,.784,0.8,2.8,3.6,3.1,1.3,0.2,2.3,1.9,14.8,0.0,fearsje01
106,Quentin Grimes,25,PHI,SG,28,7,31.9,4.7,11.0,.424,2.2,6.3,.352,2.5,4.8,.519,.524,3.2,3.7,.874,0.6,3.1,3.8,4.3,0.9,0.4,2.4,1.9,14.8,0.0,grimequ01
107,De'Andre Hunter,28,CLE,SF,29,23,27.9,5.0,11.7,.425,1.8,5.9,.312,3.1,5.8,.538,.503,3.0,3.6,.854,0.7,3.4,4.1,2.1,0.7,0.2,1.5,2.7,14.8,0.0,huntede01
108,Saddiq Bey,26,NOP,SF,32,24,29.6,5.3,11.9,.445,1.6,5.0,.314,3.8,7.0,.538,.510,2.5,3.2,.802,1.7,4.2,5.9,2.2,0.9,0.1,0.6,1.0,14.7,0.0,beysa01
109,Russell Westbrook,37,SAC,SF,32,26,29.2,5.5,12.8,.428,1.9,5.4,.356,3.5,7.3,.481,.504,1.7,2.7,.647,1.6,5.2,6.8,7.1,1.5,0.1,3.3,2.5,14.6,0.0,westbru01
110,Walker Kessler,24,UTA,C,5,5,30.8,5.2,7.4,.703,1.2,1.6,.750,4.0,5.8,.690,.784,2.8,4.0,.700,4.6,6.2,10.8,3.0,1.4,1.8,3.2,4.4,14.4,0.0,kesslwa01
111,Santi Aldama,25,MEM,PF,32,8,27.7,5.4,11.4,.477,1.7,4.8,.346,3.8,6.6,.571,.549,1.8,2.6,.675,1.5,5.2,6.7,3.0,1.0,0.6,1.3,1.5,14.3,0.0,aldamsa01
112,Ajay Mitchell,23,OKC,SG,30,7,25.9,5.1,10.8,.474,1.1,3.1,.351,4.0,7.6,.524,.525,2.8,3.2,.875,0.6,2.9,3.5,3.6,1.5,0.3,1.5,2.2,14.1,0.0,mitchaj01
113,Matas Buzelis,21,CHI,PF,31,31,27.4,5.1,10.3,.492,1.6,4.5,.355,3.5,5.7,.601,.571,2.3,2.8,.805,1.1,4.1,5.2,1.5,0.8,1.4,1.8,2.8,14.0,0.0,buzelma01
